#3,Observation,Not an observation,mech/seal leaking pump #3 mini
leak,Observation,Leaking,"gasket leaking on pump   leaking seal need replaceing   manual pressure gauge is leaking.   wtp sd piping yankee coupling leaks   leaking line or discharge valve   repair leaking flange.24.02.2012   earth leakage on motor or wiring   haz flange gasket leaking on recycle lin   discharge flange leaking badly   disch accum air line leak   b feluwa suction leak   gland water leaking   $$ repair leaking seal on piston chamber   pump oiler leaking   haz cws on valve leak   pump pump body is leaking   leaking oil from de be seal   replace garflex coupling leaking   sth discharge manifold leaking b feluwa   seal water flow meter leaks   $$ new pump leaking from shaft seal pump   sce reapir leaking pump flange   ind sce suction gasket leaking   replace water leak in flush line   pump mech seal leaking   38t leaking tapping point suction spool   pump packing leaking   replace pump mech seal leaking liquor   leaks common discharge pipe piping   20c grbx seal leak at pulley   volute gasket leaking - pump   leak pump flange leak   pump repair leaking volute ba   pump sd steam leak   shaft seal leaking   jdi pump pump seal leaking slurry.   tighten leaking flange on suction   repair leaking lubrication fitt   pump seal water leak   discharge flange leaking   haz garflex coupling leaking badly   piping leaking garflex suction side   haz-pump leaking at suction   piping discharge pipe leaking.   suction valve gasket leaking   oil leak replace pump unit   bottom gasket suction bellow leaking   is continually leaking oil 23.01.   leaking glycerol   glycol leak   re-pack gland on leaking pump   bottom block valve leaking piping   gland seal leaking   sce oil leak fron nde bearing   flange leaking on hora valve.   seal leak from wet end   repair leaking suction & mods to drain   pump seal leaking   hazrepair acid flange leak in n/e corner   ind excessive water leaking from seal   suction expansion spool leaking   seal leaking on bredel pump   pump leaking from seal   sd leaking gasket mfl line   cub mill 2 replace leaking poly pipe   garflex couplin leaking badly   gasket leaking suction line   haz leak water above stop/start pump   piping south suct accum leaking   haz.discharge line leaking biocide   a feluwa south piston rod seals leak   discharge pipework leaking mfl.   leaking nrv   leaking suction garflex leaking   delete pump leaking from gland   packing leaking   $ replace leaking mechanical seal   seal leaking glycerol   pump gland leaking to excess.22.04   replace leaking spool piece bc prod line   pump casing leaking glycol ,low level   ats thermal overload leaking pump   1 inch ball drain valve leaking   sce sulphur leak vv   replace mechanical seal leaking   injector leaking.   pump pump leaking from disch. line   piping gasket leaking on recirc leg   steam leaks sce   sump pump pump gland leaking.   gearbox oil leak   suction accumulator leaking   gland leaking slurry re pack   leaking gland water supply line   pinhole leak @ gusset sth accumulator   mech seal damaged / leaking   garflex coupling leaking   suction header gasket leaking.   pump discharge leaking on piping   west discharge valve gaskets leaking   leaking from pump gasket   flow meter on seal water leaking   replace mech seal gland leaking slurry   seal water pot leaking.   flange leaking   oil leak between gearbox and chamber   gland leaking   discharge garflex leaking   pump disch valve leaking   wtpsd biocide pump leaking   $ mechanical seal leaking pump 19b   replace mech seal leaking   leaking flange discharge of pump   cm internal water leak sce   leaking gasket   piping drain valve is leaking   bredel rear seal leaking gycerol   pump leaking biocide dosing pump   repair leaking gland seal   seal water gland leaking 32g 12a   product leaking from east chamber   mechanical seal leaking pump   haz straghman valve leaking   replace leaking gland packing   product block valve leaking   pump sulpher leak from gland.   b feluwa leak flange n/e discharge   pump leaking mechanical seal   leaking suction nrv pump   gasket leak at block valve.   $$ haz versicol leaking badly pump   garflex leaking   suction sample point leaking   replace pump damaged by leak   versicol pump leaking #2 bm   close water leaking in pipe rack   102a mechanical seal leaking.   env gasket developed leak on ftu line   haz pump leaking   repair leaking gasket n/w chamber   pump discharge pipe leaking   leaking fitting on suction   pump leaking from body   replace pump as leaks on discharge   garlex leaking   gland leaking pump liquor   leaking flange piping new line   mech seal leaking badly   fitting leaking seal supply   mech seal leaking acid badly   a feluwa disch accumulator air line leak   jdi leaking gland   east discharge valve gaskets leaking   haz diesel pump handle leak   repair the gar-flex is leaking   pump leaking from inside bredal   valve body leaking (k2g36a)   sce found to have oil leak   $ osr oil leaking from pump bearing   sce valve body leaking   west camber leaking at flange on piping   b feluwa garflex coupling leaking liquor   haz-c feluwa garflex coupling leaking   strahman sample valve leaking   pump mechanical seal leaking   south accumalator leaking on a feluwa   leak in discharge line from pump   suction garflex leaking badly   glycerol leak from discharge   acid leak in nf acid pumps area   disch accum air line leak sw   piping leaking discharge garflex   38t gasket leaking & acuators missing.   repair seal leak bredel   cub disch pipe leak from patch   versicol leaking from pipework near   repair pump de brg oil leak   leaking oil from housing   20c feluwa leak west chamber door seal   glycol leaking from bottom hose   b feluwa disch straughman leaking   38t haz wld leak from discharge of sce   replace leaking discharge spool   sulphur leaking from seal   oil reservoir gasket leaking   flush point weld leaking   c feluwa booster pump spool leaking.   pump very noisy and leaks from seal   volute gasket leak   leaking seals from both ends   piston rod seal leaking oil to grade   leaking gasket on volute   suction valve leaking   repair leaking discharge bellow   investigate oil leak.   bcsd mechanical seal leaking   pump discharge spool leaking   repair steam leak on fitting   pressure switch leaking   leaking product from pump base   flange leaking on piping feluw   mech seal passing / leaking   replace pump due to mech seal leaking 07   $ cond pump mech seal leaking   gland leaking slurry - repack   haz pump leaking from discharge   pump leaking gasket   $ pump mechanical seal leaking liquor   mechanical seal leaks med. aqua   pump braided hose leaking badly   leak on pipework at sample point   mechanical seal leaking around shaft   wld disch spool leaks from drain   $ sce mechanical seal leaking   sample strahman valve leaking cfl   piping garflex leak   pump leaking suction pipe coupling   daiphram pump is leaking.   inspect pump for oil leak   disch accumulator leak   south suction acc leaking   c feluwa suction straughman leak   suction spool at accumulator leaking   pump pump seal leaking   haz 19b seal leaking   sample point leaking   leaking glyco from bottom hose flange   leaking at seal on shaft pump   bcsd piping valve leaking   excess seal leakage   cub haz knife gate leaking liquour   repair leak in recirc. leg.   control valve at bm leaking   repair leak on discharge   sulphuric acid elbow leaks   fsd change out leaking mech seal 412   haz oil leak from sight glass   reseal leaking strahman valve   leaking drain valve   nrv leaking   suction garflex leaking ten li   south east camber leaking bolt issues   steam line to suction leaking   hose leaking on pump   pump garflexes leaking   $$$ test pump steam line for leaks   oil leak n/w chamber from seal   seal leaking volute shims missing pump   wld 1 inch sample point valve leaking   $$ piping weld leak on flushing point   teco pump housing leaking badl   pump not pumping leaking seal   pin-hole leak discharge pipe   water leak on discharge line   lt drain valve leaking   wld leak product from weld   repair leaking flow meter for   connection at pump leaking.   32g 11a gland seal leaking   bottom complate leaking   $ seal water is leaking badly   flange leak on pump discharge line   leaking glyercol   piping discharge flange leaking   slow oil leak   strainer leaking versicol   air line to disch accumulators leaking   msd mj b feluwa feed knife valve leaking   pump gland leaking change pump   b discharge accumulator airline leak   piping discharge garflex leaking   pump seal leaking pump   $$ feed pipe to leaking   delete haz steam leak on pump disch gearmotor   glycerol leaking from suction spool   $ sample point leaking   repair leak on suction   env acid pump discharge spool leaking   cu filtrate leaking from flange   pressure gauge weld leaking   wld leaking drain valve piping in 4   acid leaking mech seal   gland packing leaking   gasket leaking   $ pump leaking floc d/e seal at coupling   mechanical seal leaking   pup spool leaking on dilution line   pump seal leaking liouor   pump res pump seal leaking   te sd flange leak on discharge.   cub seal water line leaking   bredel juice leaking from tell-tale   weld repair leaking pipework   pump leaking oil   leaking badly   cub seal water leak   change out leaking garflex   flange leak on discarge of piping   discharge garflex is leaking.   scope suction line to pump leak   jdi leaking d/c drain valve piping   pump and pipework leaking rsh   mech seal leaking slurry   liquor leaking from pump seal   replace pump leaking external   seal leaking glycerol coming   pump seal water leakin from seal   gland packing seal worn out leaking slur   $ packing leaking   leaking from coupling   pump rw valve 1035 leaking   replace leaking mechanical seal   piping discharge hose leaking   please delete mechanical seal leaking   patch leaking pipe in piperack   close versicol pump pump leaking   versicol pump leak   pump seal leaking acid in bund   piping suction seal leaking   $ oil leaking from seal   check south chambers oil leakage   pump seal leaking sulphur   versilcol pump leaking shaft seal   pump leak   gland leaking product   leak drain valve pump on discharge   gland water seal leaking   pump leaking glycol   repl pump repr leaks   disch garflex leaking   leaking mech seal   strainer leaking   pump tripping earth leakage   3rd piping repair leaking weld   rear seal leaking pump   delete - repair leaking seal   repair leaking pump   pump gland leaking badly   oil leak n/e chamber sensor washer   versicol pump stem leaking   leaking product from packing   bottom flange leaking on check valve   leaking flange on discharge line   38t pump seal leaking   hazard discharge pipe leak.   pump body leaking product   repair leaking drain valve p- 2165 /// a   suspected steam leak impeller   repair two leaks on suction pipe -4g-6a   wld leaking drain valve   teco pump mech seal leaking   repair leak @ inst. probe on disc   discharge spool holed leaking   hose point drain leaking   oil leak from sce housing seal   replace leak suction garflex   pump glad leaking badly   top nrv leaking   tla seal leaking   haz leaking suction garflex   oil leaking from pump   oxy sump pump leaking discharge valve   leaking at medium aqua   small suction straughman valve leaking   casing leaking product to deck   pump leaking water   sample straughman gasket leaking   replace leaking spool on discharge   sce pressure switch leaking   pt 55546 supply valve leaking bfw   pump leak from discharge   pump seal leaking badly.   wld pump replace leaking valve   b feluwa sth piston seals oil leak   leak on kickback line   leaking cross head shaft seal   erect scaffold to replace leaking val   leak on cross over from 36b   fix oil leak and seal cooler   south suction accumulator leaking   rubber expansion joint leaking   $$ fab spools to repairs leaks   leak on pipe on discharge side   haz gauge leaking from loose body   oil leaking north piston chamber   pump leaking disch flange   replace mechanical seal leak pump   nth shaft seal bad oil leak into bucket.   leak from garflex flange   versicol leaking from yankee coupling   pump leaking acid   pump leaking slurry through gland   pump leaking mech seal   water leaking from pressure swit   cub suction knife valve leaking   furnace 2 cold zone feed hose is leaking   te sd butterfly valve leaking   38t replace medium aqua valve sce leak   oil leak out shaft seal, change pump   leaking mechanical seal   leaking flange on d/c line   east non return valve leak suction   replace leaking mech seal   repair leak on fto discharge line   tesd piping suction garflex leaking   versicol leak above bowl   tesd leaking seal mfl   sample point leaking (p2165)   $ replace mech seal external leak   sd steam trap drain leaking   leaking discharge valve on piping   repair leaking discharge spool   $ mech seal leaking   leaking gasket piping   leak on barrel union pipe work   $$ cm replace leaking mech seal   $ pump suction elbow leaking biocide   pump sd sulphur pump seal leak   pump mech seal leaking.   discharge gasket leaking refux/ammonia   pump leaking badly west end   repair oil leak between motor and g/box   supsected blown hose and leaking door   gland is leaking   replace leaking seal   $ mechanical seal leaking - sce   $ piping fel sth suction accum leaking   leaking sleeve need replacing   leaking gasket discharge spool   b feluwa garflex coupling leaking   $ replace mech seal leaking cu liqu   scope leak on c felewa booster discharge   discharge valve is leaking   versicol leaking from y coupling   sample point leaking on piping   bc sd leaking sample point   seal leaking.   gland leaking floc   c feluwa sample strawman valve leaking   pump leaking biocide pump   piping discharge nrv gasket leaking   suction drain leaking   sce leaking oil seal   mechanical seal leaking.   replace leaking volute gasket   seal flush line leaking from fitting   repair water leaks and change diapham   c feluwa garflex leaking   pinhole leak adjacent piping pipework   seal water box leaking water   repair leaking versicol pump   a feluwa product leak n/w chamber   gland leaking /spraying out liquor   close out pump cv on versicol body leakin   cub sce discharge flange leak   sw nrv leaking product   $ pump seal leaking and motor trips out   $ valve piping leaking from valve stem   suction header gaskets leaking.   suction expansion joint leaking   $ mech seal leaking steam on pu   $$ piping leaking pipe backup rw line   $ residue feed pump seal leaking   pump gland leaking   north chambers leaking glycol   pin hole leak - discharge drain   c feluwa straughman valve leaking rfl   investigate leak repair at piping   $ pump seal leaking   piping valve spool leaking   pump seal leak   condensate pump seal leaking   expansion joint leak -suction line   leaking gland   versicol control valve leaking from body   leaking versicol from pump   mech seal leaking   suction gasket leaking   b south east cylinder drain plug leak   mech seal leaking pump   repair pump-repack gland leaks   haz.pump leaking outside bund   hazard water leak   bc sd mech seal leaking / faile   cub suction valve leaking from v/v   pump leaks weak aqua from gland   nookie underflow pump seal leak..   flow meter leaking from fitting   garflex coupling leaking flange face   c feluwa discharge flanges leaking   leaking flange on discharge line bm#4   seal water leak   pump discharge gasket leaking slurry   haz acid leak   leak from flange   pump seal leaking repack stuffing box   valve leaking on versicol line   leaking seal   c feluwa air leak accumulator   cub leaking suction pipe on piping   oil leak on nde of pump   mj mech seal leaking   pump garflex leaks   hora valve leaking   suction garflex leaking   cub pump leaking flocculent   pump slurry leak from stuff box   filler handle leaking   weld discharge valve leaking product   discharge seal leaking   acid line leak 27 tk bund..   replace leaking pump   cub piping leaking from body of valve   mech seal leaking liquor   cub discharge pipework leak   pump gland leaking liquor   leak from west side suction spool   replace leaking valves 30.05.2012   $ mechanical seal leaking badly   glycerol leaking from suction of pump   sucttion pipework leaking   discharge spool leaking   leaking seal repacking stuffing box   haz leak on cmf bund sump line   gland leaking badly   res bv piping bonnet gasket leaks   large oil leak - between motor - gearbox   piping weld leak on flushing point   repair leak in pump housing.   test pump steam line for leaks   mech seal leaking on pump   cub spray water valve leaking   gland leaking badly needs replacing   repair leaking garflex coupling   seal on shaft leaking badly   cub saunders suction valve leaking   oil leak at drive end of pump   repair leak on discharge piping   housing leaking   oil leaking from gearbox / motor   leaking from west discharge   inline strainer leaking from top   discharge valve leaking   is leaking badly   piping suction valve is leaking   pump valve leaking from body   sample point leaking on piping (p2162)   bcsd sample point leaking piping   38tk sce replace leaking valve.   north suction accumulator leaking   suction elbow spool to pump leaking.   pump discharge flange leaking   versicol pump leaking   $ repair leak on sample line   repair steam leak   replace expansion joint leaking   repair leak on sample point   pump leak on dischage flange   gasket on suction of pump leaking   leak on suction flange   change out mech seal leaking   seal leaking   mechanical seal gasket on leaking   pump has suspected leaking diaphragm   piping replace leaking pipework   pump seal leaking process liquor   wld replace leaking 1~0bstab in pump   pump repair flange leak   oil leaking from shaft   19a suction gasket leaking   please delete suction pump leaking   pump leaking   wld replace leaking drain valve   gland leaking repack jdi   leaking garflex coupling   pump seal is leaking   repair bottom coupling leaking glycol   $ pump very noisy and housing leaks.   leaking from new pipework   repair leaking suction on pump   wet end gasket leaking   mechanical seal leaking. rsh 19.   38t pump seal leaking badly need change   screw has snapped off and is leaking   front oil seal on pump shaft is leaking   garflex on discharge is leaking pump   haz.acid line on suction side is leaking   replace leaking suction garflex   volute gasket leaking   piping garflex leaking.   glycol leaking from bottom pump outlet   seal / gland leaking badly   hazard near new acid pump leaking acid   seal water tubing leaking badly 4g 19a   leaking from threaded nipple   black poly pipe leaking   $$ leak from pump housing 12.04.2012 jon   north piston rod seals leaking   filtrate leaking from flange   oil leakage from main input shaft seal   bcsd leaking valve @ elute leg piping   repair leaking oil level switch.   mech seal leak   north piston seals leaking   leaking seal on pump   leaking on the nrv on the west side   pump has a leaking gland   suction garflex coupling leaking   a feluwa suction garflex coupling leak   piston chamber oil seal leaking   discharge spool holed and valve leaking   $ pump leaking from housing   a feluwa suction sample leak   oil leaking from bearing housing   seal is leaking   pump gland packing leak"
leak excessivly,Observation,Leaking,gland packing leaking excessivly
leak exponentially,Observation,Leaking,gland seal leaking exponentially
leak in two place,Observation,Leaking,seal water leaking in two places.
leak on,Observation,Leaking,gland leaking on   mech seal gasket leaking on   repair oil leak on   valve vs 1074 leaking on   seal water leak on   cub mech seal leaking on
leak out,Observation,Leaking,pump leaking out of gland   pump leaking out of seal   glycol leaking out and flexi rubber hose
leak slurry,Observation,Leaking,20c suction manifold holed leakin slurry   pump gland leaking slurry   gland seal leaking slurry   gland leaking slurry
leak u/,Observation,Leaking,pressure switch on sce leaking u/s
leak underflow,Observation,Leaking,3 way valve leaking underflow
leak when shut,Observation,Leaking,drain valve sce leaking when shut
"leak,",Observation,Leaking,"mech seal leak, passing &   bredel hose leak, oil change"
leak/hole,Observation,Leaking,may cub leak/hole on expansion spool pie   pump disch pipework has leak/hole
leak/hose,Observation,Leaking,south chamber oil leak/hose blown
leak/spray,Observation,Leaking,reduction sump pump leak/spray
leaked out,Observation,Leaking,all glycol has leaked out of pump
"leaking,",Observation,Leaking,"pump gland seal leaking,   mech seal leaking, broken"
leaking-need,Observation,Leaking,gland leaking-needs repacked 21
leaking-replace,Observation,Leaking,seal leaking-replace seal & align
leaky,Observation,Leaking,repair leaky west suction nrv   suction accumultor sth side leaky flange
lealing,Observation,Leaking,garflex lealing
level,Observation,Not an observation,"pump casing leaking glycol ,low level"
lifted cleaned,Observation,Not an observation,motor to be lifted cleaned and aligned
lifting,Observation,Not an observation,rv lifting when too much load put on   rv inside sw chamber lifting   nw chamber rv lifting
lifting trial,Observation,Not an observation,feluwa half-pump lifting trial
light electrical,Observation,Not an observation,red phase light electrical
light out,Observation,Not an observation,pump red phase light out
line),Observation,Not an observation,wld scope s/steel pipe holed (mfl line)
liquuor,Observation,Not an observation,"haz- hot liquuor spraying, craked line"
lit,Observation,Not an observation,water contamination alarms lit s.s
locked,Observation,Other,feluwa pump locked in manual
locked out on,Observation,Other,locked out on oil contamination
loose,Observation,Minor in-service problems,loose belts and gland seal worn   fco 2470 air supply line loose   haz wld motor cable tray loose   investigate impeller looses   loose hold down bolts. replace/tighten   mounting bolts of discharge spool loose   loose hydraulic piston nut   belts loose and 1 missing   repair loose connection on pump run   haz sth hydraulic nut loose c feluwa   secure loose cable tray   hold down bolts loose pump   hydraulic nut on north ram is loose   belts are loose   black sump hold down shaft bolts loose   piping loose discharge valve (s-0191)   pump holding bolts loose   loose belts   pump not pumping to cap loose belts   haz wld guards loose on pump   piston nut loose south side   wld coupling gaurd loose   amsul sump pump belts loose pump   haz gauge leaking from loose body   motor pulley is loose on shaft   loose pulley - belts broken pump   loose impeller   jdi coupling and vbelts loose.
loose tighten,Observation,Minor in-service problems,cm motor loose tighten bolts
loose/worn,Observation,Minor in-service problems,c feluwa drive vee belts loose/worn
looseness,Observation,Minor in-service problems,cm check hd bolts for looseness
losing,Observation,Minor in-service problems,inspect gear box is loosing oil   pump losing hydraulic oil
"losing flow,stopping",Observation,Plugged / choked,"pump losing flow,stopping"
losing signal,Observation,Other,mill level indicators losing signal
loss,Observation,Not an observation,loss of glycerol through gearbox seal   phase loss to bores   investigate glycol loss & repair   h 11 loss of glycerol pump
lost,Observation,Not an observation,"sump pump lost belts   pump has lost belts   lost belts   lost oil   pump has lost all its oil via bre   north chambers lost all oil   bredel hose lost all glycoll   lost flow, west chambers blocked   pump lost flow"
lost its packing,Observation,Other,has lost its packing
low,Observation,Not an observation,"low oill in bearing chamber   low flow rate pump   replace pump, pulling low amps   low flow sensor u/s   low flow on pump pump   delete low oil   low flow rate   low output inspect wet end   dc pressure switch low u/s   inspect low output/repair pump   low flow on pump   pump low flow   flow meter reading low   pressure switch low u/s   haz sump low level faulty   pump low flow , using oil   pump low pressure switch   haz low coolant   low flow   pump low performace   inspect wet end low flow   replace low level sensor pump   $$ storm waterpump pump stores low vol   low glycol   cub ind cm alert low level pump vibratio"
low flow,Observation,Plugged / choked,jdi sce low flow
low level,Observation,Not an observation,pump not stopping at low level
low pressure,Observation,Plugged / choked,jdi pump low pressure
low viscosity,Observation,Other,cm-a2g-20b change oil - low viscosity
mad,Observation,Not an observation,mad vibration in pump or motor.
made up,Observation,Not an observation,sce needs new strainer made up
maint,Observation,Not an observation,"maint. replace faulty pump   $ maint. remove/replace pump   $ maint. check clearances on pump.   maint - repair & fit pump   maint. replace noisy pump   maint. oil cooler needs a clean   maint. remove,repair replace n.r.v.   maint calibrate vsd."
maint:,Observation,Not an observation,maint: sce pulling high amps   maint: high filter dp on turbine oil   maint: replace electrical on   $$ pump maint: replace motor on   maint: gland seal leaking on pump   maint: pump sump belts have come off   maint: motor coupling failed.   maint: non return valve passing piping   maint: drive belts slipping   delete maint: drive drive coupling bro   maint: piping disch non-return passing   maint: replace motor on pump   maint: motor belts slipping   maint: strainer clean on sce   maint: only 1 phase light on pump   maint: clean suction strainer   maint: drive belts failed on   maint: bfw strainer needs cleaning   maint: drive belts need replacing   maint: sce pressure switch   maint: replace suction hose to pump
making,Observation,Not an observation,pump making a ticking noise around belt   jdi vac pump making a squeeling noise   pump making knocking sound   pump motor making noise   absorber pump making harsh noise   pump making a knocking noise
marked up,Observation,Not an observation,ups drawings to be marked up
may be,Observation,Not an observation,pump shaft may be broken
may be failing,Observation,Other,$ versicol pump seals may be failing
may burst,Observation,Other,haz flexy hose may burst @ anytime
milky,Observation,Other,milky colour oil in pump 3g 13   oil milky replace hydraulic oil
misaligned,Observation,Minor in-service problems,cub cm alarm angular misaligned coupling   replace misaligned spool on
misaligning,Observation,Minor in-service problems,measure garflex misaligning on c feluwa
misalignment,Observation,Minor in-service problems,pipe misalignment
missing,Observation,Minor in-service problems,"bracket missing on mcc cubicle   replace missing valve handle   38t gasket leaking & acuators missing.   guard missing on pump   check wet end and replace missing belt   replace missing psv tag, pump   missing spools from dump valves   haz-suction drain piping missing handle   discharge vv handle missing.   stem & perma lube missing on motor   haz motor fan cover guard mesh missing   haz flange missing from valve   delete 38t repair missing mouting bolts   oil drain line missing   belts missing   psv id tag missing   tags missing   large strauhman missing handle piping   haz stop button missing pump   belts loose and 1 missing   missing balls on sump pump.   haz valve handle missing on suction valv   jdi drive end permalube missing   electrical missing level indicator   discharge flange bolts missing.   please delete rubber lining missing on d   c feluwa suction line missing camlock   replace missing psv 02859 tag   valve handles missing   install missing o-ring in nrv   purma lube missing pump   haz flange missing from valve piping   rubber lining missing on discharge spool   phase missing to vsd   haz - bolt missing on guard   please delete haz u bolts missing from p   seal leaking volute shims missing pump   haz belt guard missing cover   filtrate pump belt missing   haz pump missing pump   float missing   permalube missing at pump nde   discharge valve handle missing   haz-discharge drain pump missing handle   haz - valve handle missing"
missing blank,Observation,Minor in-service problems,haz pipework missing blank
missing hold down,Observation,Minor in-service problems,haz pump missing hold down bolts
missing off,Observation,Minor in-service problems,haz tundish missing off sample point
missing on,Observation,Minor in-service problems,psv 04182 tag missing on rv
missing/loose,Observation,Minor in-service problems,feluwa caps missing/loose
mixed,Observation,Not an observation,78w elec svce motor & mcc mixed
more take up,Observation,Not an observation,"repack gland, leaking & no more take up"
motor,Observation,Not an observation,"$4g-6c motor very corroded needs motor r   wld, repair cracked motor fan cover   $$pump u/s motor"
moved,Observation,Not an observation,78w elec svce motor & mcc pump moved f
movement,Observation,Not an observation,a feluwa s/w chamber has no oil movement   s/w chamber no oil movement
moving a lot,Observation,Vibration,pumps moving a lot
n/e,Observation,Not an observation,a feluwa n/e discharge valve gaskets
need,Observation,Not an observation,cm-coupling guard needs modified   delete needs hydraulic oil   fan cowl broken needs replacing pump   pressure gauge needs replaced   needs new belts   pipe support needs wear blocks installed   needs new belt   pump needs glycol   sce vsd terminals needs repair   suction valve needs changing out   feed block valve needs replaced   diesel pump needs overhaul corr   36a needs a descale   pump needs new gland packing   needs new pump   garflex coupling needs replacing suction   piping needs new stub welded   needs tube replacing   dc dry wash pump ammeter needs rep   motor needs replaced   motor pulley needs replacing on pump   discharge valve on needs changing   need a new bredel hose   suction pipework support needs repair   needs belts replaced   needs strainer clean   needs a descale   replace base bolts needs to be repaired   dp gauge needs change out.   pump needs topping up with glycol   needs mechanical seal   haz-fan guard needs replaced motor   needs new strainer   gland needs looking at   needs new jacking bolts to motor   needs new strainer hold down bolts   wld valve needs replacing sce   discharge poly piping needs lengt   pump seal needs repair/replace.   needs new breedle tube   ha pump needs gland replaced   sump pump pump needs new belts   pvc coupling needs repair   cm-gearbox oil needs changed out.   using oil needs seals   needs gland repacked/wet overhaul   te sd seal flow meter needs repl   32g 1a needs light above replaced   south hydranut needs tightened b feluwa   gland hose needs repairs.   $ discharge valve piping need replacing   needs changing pump   thedump valve and garflax needs replaced   pump and motor need to be r   needs gaskets   needs a strainer clean   gland needs repacking pump   seal cooler needs good clean   needs gland repacked/insect wet end   gland needs re packing   pump needs investigation   $$ pump failed need to be replaced   $$ pump needs investigating   motor down to earth and needs replacemen   lc 04033 needs replacing   38tk passing valve need changing   wld sample point ball valve needs replac   needs a seal replacement   dc cooling fan needs replacing motor   dc pump needs ammeter replaced   pump needs to be ranged better   needs fitters to free up   impellor needs screwing back on   jdi pump needs new gauge pump   needs seal replaced   cm-lube tee piece need fitted to motor   need to check vsd reliability   pump housing needs repairs   pump needs to have the vbelts replaced a   needs breedle replaced
need a descale,Observation,Minor in-service problems,pump running on high amps need a descale
need calibration,Observation,Abnormal instrument reading,bottom purge valve may need calibration
need change,Observation,Breakdown,38t pump seal leaking badly need change
need marking up,Observation,Minor in-service problems,hydraulic nuts need marking up
need modifying,Observation,Minor in-service problems,and seals need modifying
need repacking,Observation,Minor in-service problems,pump need repacking and issue with motor
need replaceing,Observation,Breakdown,leaking seal need replaceing
need replacing,Observation,Breakdown,belts need replacing   pulleys need replacing   leaking sleeve need replacing   jacking bolts need replacing   gaurds need replacing.   haz-electrical fault ball need replacing   ball floats need replacing   level floats need replacing
need straighting,Observation,Minor in-service problems,lids on dpr 8 need straighting
needed,Observation,Not an observation,te new busbars needed for ct install   haz 800 kpa guage failed 8000 needed   wld block valve needed on discharge pipe   haz wld guard needed for shaft on pump   pump outer housing needed to rts
needs a descale,Observation,Minor in-service problems,pump needs a descale
needs a repack,Observation,Minor in-service problems,gland needs a repack
needs adjusting,Observation,Minor in-service problems,drive coupling needs adjusting
needs alignment,Observation,Minor in-service problems,pump needs alignment   tla pump needs alignment
needs another row,Observation,Minor in-service problems,needs another row of packing
needs descale,Observation,Minor in-service problems,needs descale   pump needs descale
needs fitting,Observation,Minor in-service problems,pump fan cowling needs fitting
needs fixing,Observation,Minor in-service problems,oil drain line come loose needs fixing
needs freeing up,Observation,Plugged / choked,pump seized and needs freeing up
needs inspecting,Observation,Minor in-service problems,wet end needs inspecting
"needs investigating,",Observation,Minor in-service problems,"needs investigating, won't pump"
needs maintenance,Observation,Minor in-service problems,mcc needs maintenance
needs modifying,Observation,Minor in-service problems,pump foot needs modifying   pump suction needs modifying   wtp sd pipe needs modifying
needs packing,Observation,Minor in-service problems,jdi pump pump needs packing replaced
needs patched up,Observation,Minor in-service problems,haz-motor guard needs patched up
needs re build,Observation,Breakdown,wet end needs re build
needs rebuild,Observation,Breakdown,pump needs rebuild
needs repack,Observation,Minor in-service problems,needs repack
needs repacked,Observation,Minor in-service problems,jdi pump needs repacked
needs repacking,Observation,Minor in-service problems,gland needs repacking.   gland needs repacking   pump gland needs repacking   seal needs repacking   needs repacking of gland
needs repairing,Observation,Structural deficiency,holed discharge line needs repairing
needs replaceing,Observation,Breakdown,ready light needs replaceing   19b garflex needs replaceing.
needs replacement,Observation,Breakdown,drive belt needs replacement
needs replacing,Observation,Breakdown,garflex needs replacing   blown bredel hose needs replacing   gland leaking badly needs replacing   pump needs replacing   v belts are burnt off needs replacing   dump valve needs replacing.   run light needs replacing   22g 11 needs replacing   cub impeller needs replacing   vsd needs replacing   breedle needs replacing   ready light needs replacing   suction pipe needs replacing   dc pump ammeter needs replacing   pump is seized and needs replacing   pump vsd needs replacing   packing needs replacing   discharge spool needs replacing   $ dump valve on pump needs replacing   garflex near booster needs replacing   breedle has blown and needs replacing   coupling needs replacing   internal hose holed needs replacing   jdi regulator needs replacing   cub condi spool needs replacing in h   earth lug needs replacing on sce   bredel hose needs replacing   $ pump needs replacing.   pump base needs replacing   dc electrical ammeter needs replacing   rubber spool needs replacing   dump valve pump needs replacing   gland packing needs replacing   suction spool needs replacing.   nrv gasket needs replacing   b feluwa motor needs replacing   piping discharge valve needs replacing   $ pump needs replacing   drain valve on discharge needs replacing   blown breedle needs replacing
needs reset,Observation,Electrical,needs reset   pump tripped - needs reset
needs scope,Observation,Minor in-service problems,needs scope to rectify defects
needs securing,Observation,Minor in-service problems,acwt discharge pipe needs securing
needs support,Observation,Minor in-service problems,discharge pipe needs support
needs supporting,Observation,Minor in-service problems,discharge pipework needs supporting
needs tightened,Observation,Minor in-service problems,c feluwa north hydranut needs tightened
needs to be de-scaled,Observation,Minor in-service problems,pump needs to be de-scaled
needs to be dismantled,Observation,Minor in-service problems,old scaffold needs to be dismantled
needs to be extended,Observation,Minor in-service problems,wld spool needs to be extended 60mm
needs to be flushed,Observation,Minor in-service problems,strainer needs to be flushed
needs to be held down,Observation,Minor in-service problems,pipework needs to be held down
needs to be re-packed,Observation,Minor in-service problems,gland needs to be re-packed
